,classe,a1_0,a1_1,a1_2,a2_0,a2_1,a2_2,a3_0,a3_1,a4_0,a4_1,a4_2,a5_0,a5_1,a5_2,a5_3,a6_0,a6_1
0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
5,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
6,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
7,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
8,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
9,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
10,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
12,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
13,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
14,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
15,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
16,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
17,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
18,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
19,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
20,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
21,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
22,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
23,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
24,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
25,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
26,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
27,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
28,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
29,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
30,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
31,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
32,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
33,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
34,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
35,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
36,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
37,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
38,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
39,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
40,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
41,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
42,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
43,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
44,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
45,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
46,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
47,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
48,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
49,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
50,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
51,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
52,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
53,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
54,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
55,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
56,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
57,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
58,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
59,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
60,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
61,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
62,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
63,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
64,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
65,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
66,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
67,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
68,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
69,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
70,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
71,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
72,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
73,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
74,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
75,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0
76,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
77,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
